id,name,name@pt,description,description@pt,invoice_label,invoice_label@pt,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,l10n_pt_tax_type,l10n_pt_withholding,l10n_pt_vat_exempt_reason,active
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24331,,,,
iva_pt_purchase_reduzida_ic,6% Goods (Intracommunity),6% Bens (Intracomunitário),VAT 6% Goods (IC),IVA 6% Bens (IC),VAT 6%,IVA 6%,15,6,percent,purchase,tax_group_iva_6,,consu,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_reduzida_ec,6% Goods (Extracommunity),6% Bens (Extracomunitário),VAT 6% Goods (EC),IVA 6% Bens (EC),VAT 6%,IVA 6%,15,6,percent,purchase,tax_group_iva_6,,consu,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_reduzida_service,6% Services,6% Serviços,VAT 6% Services,IVA 6% Serviços,VAT 6%,IVA 6%,16,6,percent,purchase,tax_group_iva_6,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24331,,,,
iva_pt_purchase_reduzida_service_ic,6% Services(Intracommunity),6% Serviços(Intracomunitário),VAT 6% Services(IC),IVA 6% Serviços(IC),VAT 6%,IVA 6%,16,6,percent,purchase,tax_group_iva_6,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24323,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24333,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_reduzida_service_ec,6% Services(Extracommunity),6% Serviços(Extracomunitário),VAT 6% Services(EC),IVA 6% Serviços(EC),VAT 6%,IVA 6%,16,6,percent,purchase,tax_group_iva_6,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24323,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24333,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
