"id","code","name","account_type","taxonomy_ids","reconcile","non_trade","name@pt","deprecated"
"chart_22123","22123","Suppliers C/C - Mother Company - Extracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_38_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresa Mãe - Mercado Extracomunitário"
"chart_2213","2213","Suppliers - Subsidiary Companies","liability_payable",,"True","","Fornecedores - empresas subsidiárias","True"
"chart_22131","22131","Suppliers C/C - Subsidiary Companies - National Market","liability_payable","l10n_pt_apo.pt_taxo_39_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresas Subsidiárias - Mercado Nacional"
"chart_22132","22132","Suppliers C/C - Subsidiary Companies - Intracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_39_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresas Subsidiárias - Mercado Intracomunitário"
"chart_22133","22133","Suppliers C/C - Subsidiary Companies - Extracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_39_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresas Subsidiárias - Mercado Extracomunitário"
"chart_2214","2214","Suppliers - Associated Companies","liability_payable",,"True","","Fornecedores - empresas associadas","True"
"chart_22141","22141","Suppliers C/C - Associated Companies - National Market","liability_payable","l10n_pt_apo.pt_taxo_40_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresas Associadas - Mercado Nacional"
"chart_22142","22142","Suppliers C/C - Associated Companies - Intracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_40_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresas Associadas - Mercado Intracomunitário"
"chart_22143","22143","Suppliers C/C - Associated Companies - Extracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_40_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresas Associadas - Mercado Extracomunitário"
"chart_2215","2215","Suppliers - Joint Enterprises","liability_payable",,"True","","Fornecedores - empreendimentos conjuntos","True"
