id,code_prefix_start,name,name@pt
chart_group_625114,625114,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_6251141,6251141,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_62511411,62511411,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_62511412,62511412,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_62511413,62511413,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_62511414,62511414,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_6251142,6251142,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP
chart_group_62511421,62511421,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP
chart_group_62511422,62511422,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP
chart_group_62511423,62511423,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP
chart_group_62511424,62511424,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPHP
chart_group_6251143,6251143,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV
chart_group_62511431,62511431,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV
chart_group_62511432,62511432,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV
chart_group_62511433,62511433,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV
chart_group_62511434,62511434,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - GPL ou GNV
chart_group_6251144,6251144,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - Energia Elétrica
chart_group_62511441,62511441,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - Energia Elétrica
chart_group_62511442,62511442,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - Energia Elétrica,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - Energia Elétrica
chart_group_62512,62512,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
chart_group_625123,625123,Deslocações e Estadas - Mercado Intracomunitário - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Intracomunitário - Compens. util. viatura própria (km pagos)
chart_group_6251231,6251231,Deslocações e Estadas - Mercado Intracomunitário - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Intracomunitário - Compens. util. viatura própria (km pagos)
chart_group_6251232,6251232,Deslocações e Estadas - Mercado Intracomunitário - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Intracomunitário - Compens. util. viatura própria (km pagos)
chart_group_625124,625124,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
chart_group_6251241,6251241,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62512411,62512411,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62512412,62512412,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
